Bacterial Species	Gene hits to species
f__Massilibacteriaceae;g__Massilibacterium;s__Massilibacterium_senegalense	cse
f__Paenibacillaceae;g__Paenibacillus_Q;s__Paenibacillus_Q_ihumii	cse
f__Helcococcaceae;g__Lagierella;s__Lagierella_massiliensis	fn1055
f__Paenibacillaceae;g__Gorillibacterium;s__Gorillibacterium_timonense	cse
f__Neisseriaceae;g__Vitreoscilla;s__Vitreoscilla_massiliensis	cysM,iscS
f__Amphibacillaceae;g__Gracilibacillus;s__Gracilibacillus_massiliensis	cse
f__Paenibacillaceae;g__Paenibacillus_A;s__Paenibacillus_A_rubinfantis	cse
f__Paenibacillaceae;g__Paenibacillus_A;s__Paenibacillus_A_senegalimassiliensis	cse
f__Marinifilaceae;g__Gabonibacter;s__Gabonibacter_massiliensis	cysK
f__Xanthomonadaceae;g__Xanthomonas_B;s__Xanthomonas_B_massiliensis	cse
f__Paenibacillaceae;g__Paenibacillus_A;s__Paenibacillus_A_phocaensis	cse
f__Enterobacteriaceae;g__Enterobacter_A;s__Enterobacter_A_timonensis	cyd,cysK,cysM,iscS,malY,metC,mst,yhaM,yhaO
f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas_timonensis	cse
f__Paenibacillaceae;g__GM2;s__GM2_sp900069005	cse
f__Paenibacillaceae;g__Paenibacillus_U;s__Paenibacillus_U_tuaregi	cse
f__Amphibacillaceae;g__Gracilibacillus;s__Gracilibacillus_timonensis	fn0625
f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium_phoceense	cysK
f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium_massiliense	fn0625,fn1220,fn1419
f__Megasphaeraceae;g__Anaeroglobus;s__Anaeroglobus_massiliensis	mgl,yhaO
f__Megasphaeraceae;g__Caecibacter;s__Caecibacter_massiliensis	mgl
f__Lachnospiraceae;g__Clostridium_M;s__Clostridium_M_clostridioforme_A	fn0625
f__Oscillospiraceae;g__CAG-103;s__CAG-103_sp900317855	cysK,fn1419
f__Lachnospiraceae;g__Hungatella;s__Hungatella_sp000526575	cse
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-01574	iscS
f__Fusobacteriaceae;g__Fusobacterium_B;s__MGYG-HGUT-01595	fn1419
f__Peptostreptococcaceae;g__Peptostreptococcus;s__Peptostreptococcus_russellii_A	mgl
f__Marinifilaceae;g__Gabonibacter;s__MGYG-HGUT-01608	cysK
f__Ruminococcaceae;g__Phocea;s__Phocea_massiliensis	mgl
f__Burkholderiaceae;g__CAG-521;s__CAG-521_sp002329575	iscS
f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter_othiniensis	mgl
f__Enterobacteriaceae;g__Proteus;s__Proteus_terrae	cysK,cysM,fn1419,iscS,metC,tnaA,yhaM,yhaO
f__Neisseriaceae;g__Eikenella;s__Eikenella_corrodens	iscS
f__Ruminococcaceae;g__Gemmiger;s__MGYG-HGUT-01627	cysK
f__Haloferacaceae;g__Haloferax;s__Haloferax_massiliensis	cse
f__Oscillospiraceae;g__F23-B02;s__MGYG-HGUT-01650	fn1419
f__Anaerovoracaceae;g__UBA1191;s__MGYG-HGUT-01651	cysK
f__Lachnospiraceae;g__V9D3004;s__V9D3004_sp002349525	cse
f__Acutalibacteraceae;g__MGYG-HGUT-01654;s__MGYG-HGUT-01654	fn1055
f__CAG-74;g__MGYG-HGUT-01658;s__MGYG-HGUT-01658	cysK
f__CAG-274;g__MGYG-HGUT-01660;s__MGYG-HGUT-01660	fn1055
f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_gallinarum	cysK
f__MGYG-HGUT-01671;g__MGYG-HGUT-01671;s__MGYG-HGUT-01671	fn1055
f__Aeromonadaceae;g__Aeromonas;s__Aeromonas_veronii_A	cysK,iscS,malY,tnaA,yhaM,yhaO
f__Aeromonadaceae;g__Aeromonas;s__Aeromonas_dhakensis	cysK,cysM,iscS,malY,tnaA,yhaM,yhaO
f__Haloferacaceae;g__Halorubrum;s__Halorubrum_lipolyticum	cse
f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis	cse
f__Megasphaeraceae;g__Megasphaera;s__Megasphaera_massiliensis	mgl,yhaO
f__Enterococcaceae;g__Enterococcus_A;s__Enterococcus_A_raffinosus	cse
f__Clostridiaceae;g__Clostridium_J;s__Clostridium_J_ihumii	mgl
f__Enterobacteriaceae;g__Citrobacter_A;s__Citrobacter_A_sedlakii	cyd,cysK,cysM,decR,iscS,malY,metC,mst,tnaA,yhaM,yhaO
f__Amphibacillaceae;g__Virgibacillus;s__Virgibacillus_picturae	cse
f__Vibrionaceae;g__Vibrio;s__Vibrio_fluvialis	cysK,iscS,metC,tnaA
f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter_portucalensis	cyd,cysK,cysM,iscS,malY,metC,mgl,mst,yhaM,yhaO
f__Enterobacteriaceae;g__Providencia;s__Providencia_rustigianii	cyd,cysK,cysM,iscS,metC,mgl,tnaA,yhaM,yhaO
f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A_thuringiensis_S	cse
f__Vibrionaceae;g__Vibrio;s__Vibrio_furnissii	iscS,metC,tnaA
f__Lachnospiraceae;g__Eubacterium_F;s__MGYG-HGUT-01722	cse
f__Ruminococcaceae;g__MGYG-HGUT-01725;s__MGYG-HGUT-01725	fn1055
f__UBA1381;g__UBA1381;s__MGYG-HGUT-01732	cysK
f__Oscillospiraceae;g__Oscillibacter;s__MGYG-HGUT-01742	mgl
f__Megasphaeraceae;g__Anaeroglobus;s__Anaeroglobus_geminatus	mgl,yhaO
f__Megasphaeraceae;g__Megasphaera;s__MGYG-HGUT-01802	yhaM,yhaO
f__Christensenellaceae;g__MGYG-HGUT-01822;s__MGYG-HGUT-01822	fn1055
f__Oscillospiraceae;g__CAG-83;s__MGYG-HGUT-01824	fn1419
f__CAG-314;g__MGYG-HGUT-01827;s__MGYG-HGUT-01827	tnaA
f__CAG-274;g__MGYG-HGUT-01833;s__MGYG-HGUT-01833	fn1055
f__Acutalibacteraceae;g__MGYG-HGUT-01860;s__MGYG-HGUT-01860	cysK
f__Tannerellaceae;g__Parabacteroides;s__MGYG-HGUT-01878	cysK
f__MGYG-HGUT-01880;g__MGYG-HGUT-01880;s__MGYG-HGUT-01880	fn1055
f__Butyricicoccaceae;g__MGYG-HGUT-01891;s__MGYG-HGUT-01891	fn1419
f__Burkholderiaceae;g__CAG-521;s__MGYG-HGUT-01892	iscS
f__Burkholderiaceae;g__CAG-521;s__MGYG-HGUT-01900	iscS
f__Muribaculaceae;g__Duncaniella;s__Duncaniella_sp001689425	cysK
f__Acutalibacteraceae;g__DTU089;s__MGYG-HGUT-01912	cysK
f__Burkholderiaceae;g__Parasutterella;s__MGYG-HGUT-01923	iscS
f__Acutalibacteraceae;g__UBA5905;s__UBA5905_sp002437905	cysK
f__Selenomonadaceae;g__Selenomonas_C;s__Selenomonas_C_sp002351185	cysK
f__Lachnospiraceae;g__Clostridium_M;s__MGYG-HGUT-01971	fn0625
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-01976	iscS
f__Bacteroidaceae;g__Bacteroides;s__MGYG-HGUT-01977	cysK
f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_sp000436875	mgl
f__Acutalibacteraceae;g__UBA737;s__MGYG-HGUT-01984	cse
f__CAG-508;g__CAG-273;s__MGYG-HGUT-01991	cse
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-02003	iscS
f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_endodontalis	mgl
f__Lachnospiraceae;g__Stomatobaculum;s__MGYG-HGUT-02052	cysK
f__Ruminococcaceae;g__CAG-115;s__CAG-115_sp000432175	cysK
f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_sp001916835	mgl
f__Oscillospiraceae;g__CAG-110;s__CAG-110_sp003525905	cysK
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-02062	iscS
f__CAG-74;g__MGYG-HGUT-02072;s__MGYG-HGUT-02072	cysK
f__Oscillospiraceae;g__CAG-83;s__MGYG-HGUT-02095	fn1419
f__Burkholderiaceae;g__Sutterella;s__MGYG-HGUT-02101	cysM,iscS
f__Lachnospiraceae;g__CAG-882;s__MGYG-HGUT-02131	cse
f__Oscillospiraceae;g__CAG-83;s__MGYG-HGUT-02144	fn1419
f__Oscillospiraceae;g__CAG-83;s__MGYG-HGUT-02156	fn1419
f__Lachnospiraceae;g__Clostridium_Q;s__MGYG-HGUT-02170	fn0625
f__Clostridiaceae;g__Clostridium;s__Clostridium_sp001916075	fn1055
f__Porphyromonadaceae;g__Porphyromonas;s__MGYG-HGUT-02205	mgl
f__Lachnospiraceae;g__MGYG-HGUT-02216;s__MGYG-HGUT-02216	cysK
f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides_sp000436495	cysK
f__Lachnospiraceae;g__Acetatifactor;s__MGYG-HGUT-02247	cysK
f__Oscillospiraceae;g__CAG-110;s__MGYG-HGUT-02254	cysK
f__Helcococcaceae;g__Anaerococcus;s__Anaerococcus_sp002359915	fn1419
f__Enterococcaceae;g__Enterococcus_A;s__Enterococcus_A_avium	cse
f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii_D	cysK
f__Lachnospiraceae;g__Dorea;s__Dorea_longicatena_B	fn0625
f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A_cereus_AD	cse
f__Butyricicoccaceae;g__Agathobaculum;s__MGYG-HGUT-02287	cysK
f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A_sp001884105	cse
f__Lachnospiraceae;g__Coprococcus;s__Coprococcus_sp000433075	cse
f__Lachnospiraceae;g__TF01-11;s__TF01-11_sp003529475	cse
f__Vagococcaceae;g__Vagococcus;s__MGYG-HGUT-02299	fn0625
f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_cutis	cysK
f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_warneri	cbs,cse
f__Enterobacteriaceae;g__Leminorella;s__Leminorella_grimontii	cysK,cysM,iscS,yhaM,yhaO
f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium_avium	cse,cysK
f__Planococcaceae;g__Kurthia;s__Kurthia_senegalensis	cse
f__Vibrionaceae;g__Vibrio;s__Vibrio_cholerae	cysK,cysM,iscS,metC,tnaA
f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_jensenii_A	cse
f__Brevibacillaceae;g__Brevibacillus_C;s__Brevibacillus_C_massiliensis	cse
f__Helcococcaceae;g__Anaerococcus;s__Anaerococcus_vaginalis_B	fn1419
f__Helcococcaceae;g__Anaerococcus;s__Anaerococcus_obesiensis	fn1419
f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A_grossensis_B	mgl
f__Helcococcaceae;g__Kallipyga;s__Kallipyga_massiliensis	mgl
f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B_faecium_B	cse
f__Enterobacteriaceae;g__Escherichia;s__Escherichia_marmotae	cyd,cysK,cysM,decR,iscS,malY,metC,mst,tnaA,yhaM,yhaO
f__Enterobacteriaceae;g__Escherichia;s__Escherichia_sp000208585	cyd,cysK,cysM,decR,iscS,malY,metC,mst,tnaA,yhaM,yhaO
f__Lactobacillaceae;g__Lactobacillus_B;s__Lactobacillus_B_salivarius	cse
f__Listeriaceae;g__Listeria;s__Listeria_monocytogenes_B	cse
f__Bacillaceae_D;g__Bacillus_K;s__Bacillus_K_alcalophilus	cysK
f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_sp900066435	mgl
f__Lachnospiraceae;g__Clostridium_M;s__Clostridium_M_asparagiforme	fn0625
f__Vibrionaceae;g__Vibrio;s__Vibrio_parahaemolyticus	cysK,iscS,metC,tnaA,yhaO
f__Enterobacteriaceae;g__Yersinia;s__Yersinia_enterocolitica	cse,cyd,cysK,cysM,iscS,malY,metC,mst,tnaA,yhaM,yhaO
f__Megasphaeraceae;g__Megasphaera;s__Megasphaera_sp000417505	yhaM,yhaO
f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_aureus	cbs,cse
f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_haemolyticus	cbs,cse
f__Lactobacillaceae;g__Lactobacillus_C;s__Lactobacillus_C_saniviri	cse
f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter_ursingii	cysK,cysM,iscS
f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter_sp002934695	cysK,cysM,iscS
f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter_sp000369785	cysK,cysM,iscS
f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter_baumannii	cysK,cysM,iscS
f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter_nosocomialis	cysK,cysM,iscS
f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter_pittii	cysK,cysM,iscS
f__Enterobacteriaceae;g__Serratia;s__Serratia_marcescens_I	cse,cyd,cysK,cysM,iscS,malY,metC,mst,yhaM,yhaO
f__Enterobacteriaceae;g__Klebsiella_A;s__Klebsiella_A_michiganensis	cse,cyd,cysK,cysM,iscS,malY,metC,mst,tnaA,yhaM
f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B_faecium	cse
f__Enterobacteriaceae;g__Moellerella;s__Moellerella_wisconsensis	cysK,cysM,fn1419,iscS,metC,tnaA,yhaM
f__Clostridiaceae;g__Clostridium_F;s__Clostridium_F_botulinum	cse,mgl
f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A_wiedmannii	cse
f__Bacillaceae;g__Bacillus;s__Bacillus_licheniformis	cse
f__Burkholderiaceae;g__Pelistega;s__Pelistega_indica	cysK,cysM,iscS,tnaA
f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium_tuberculosis	cse
f__Fusobacteriaceae;g__Fusobacterium_C;s__Fusobacterium_C_necrophorum	fn1055,fn1419
f__Enterobacteriaceae;g__Raoultella;s__Raoultella_ornithinolytica	cse,cyd,cysK,cysM,iscS,malY,metC,mst,tnaA
f__Enterobacteriaceae;g__Salmonella;s__Salmonella_enterica	cyd,cysK,cysM,decR,iscS,metC,mst,yhaM,yhaO
f__Vibrionaceae;g__Vibrio;s__Vibrio_metoecus	cysK,cysM,iscS,metC,tnaA
f__Clostridiaceae;g__Clostridium_P;s__Clostridium_P_perfringens	cse
f__Clostridiaceae;g__Clostridium_G;s__Clostridium_G_tetani	mgl
f__Clostridiaceae;g__Clostridium_X;s__Clostridium_X_cadaveris	fn0625,mgl,tnaA
f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_acidophilus	cse
f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas_bentonitica	cse
f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas_maltophilia_AK	cse
f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_helveticus	cse
f__Enterobacteriaceae;g__Leminorella;s__Leminorella_richardii	cysK,cysM,iscS,yhaM,yhaO
f__Lactobacillaceae;g__Lactobacillus_F;s__Lactobacillus_F_plantarum	cse
f__Lactobacillaceae;g__Lactobacillus_D;s__Lactobacillus_D_sakei	yhaO
f__Amphibacillaceae;g__Oceanobacillus;s__Oceanobacillus_caeni	cse,fn1419
f__Listeriaceae;g__Listeria;s__Listeria_monocytogenes	cse
f__Aquaspirillaceae;g__Laribacter;s__Laribacter_hongkongensis	cysM,iscS
f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_hominis	cbs,cse
f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_lugdunensis	cbs,cse
f__Bacillaceae_A;g__Bacillus_BE;s__Bacillus_BE_massilionigeriensis	cse,mgl
f__Paenibacillaceae;g__Cohnella;s__Cohnella_sp900169535	cse
f__Bacillaceae_A;g__Bacillus_BD;s__Bacillus_BD_tuaregi	cse
f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus_odorifer	cse
f__Enterobacteriaceae;g__Proteus;s__Proteus_sp001722135	cysK,cysM,fn1419,iscS,metC,tnaA,yhaM,yhaO
f__Acutalibacteraceae;g__An200;s__An200_sp003268275	fn1055
f__Acutalibacteraceae;g__Clostridium_E;s__Clostridium_E_merdae	cse
f__Tissierellaceae;g__Varibaculum_A;s__Varibaculum_A_timonense	fn1419,mgl
f__Enterobacteriaceae;g__Pantoea;s__Pantoea_septica	cyd,cysK,cysM,iscS,malY,metC,mst
f__Burkholderiaceae;g__Pigmentiphaga;s__Pigmentiphaga_sp002188635	cysM,iscS
f__Helicobacteraceae;g__Helicobacter_B;s__Helicobacter_B_sp001854545	cse
f__Burkholderiaceae;g__Dakarella;s__MGYG-HGUT-02447	iscS
f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus_alvus	cse
f__Enterobacteriaceae;g__Yersinia;s__Yersinia_aleksiciae	cse,cyd,cysK,cysM,iscS,malY,metC,mst,yhaM,yhaO
f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter_sakazakii	cse,cyd,cysK,cysM,iscS,malY,metC,mst
f__Enterobacteriaceae;g__Yersinia;s__Yersinia_kristensenii	cse,cyd,cysK,cysM,fn1419,iscS,malY,metC,mst,tnaA
f__Enterobacteriaceae;g__Yersinia;s__Yersinia_kristensenii_B	cse,cyd,cysK,cysM,iscS,malY,metC,mst,tnaA
f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_aeruginosa	cse,cysK,cysM,iscS
f__Enterobacteriaceae;g__Yersinia;s__Yersinia_massiliensis	cse,cyd,cysK,cysM,iscS,malY,metC,mst,tnaA,yhaM,yhaO
f__Enterobacteriaceae;g__Yersinia;s__Yersinia_frederiksenii	cse,cyd,cysK,cysM,iscS,malY,metC,mst,tnaA,yhaM
f__Enterobacteriaceae;g__Yersinia;s__Yersinia_frederiksenii_C	cse,cyd,cysK,cysM,iscS,malY,metC,mst,tnaA,yhaM
f__Enterobacteriaceae;g__Yersinia;s__Yersinia_mollaretii	cse,cyd,cysK,cysM,iscS,malY,metC,mst
f__Enterobacteriaceae;g__Rahnella;s__Rahnella_sp003263545	cysK,cysM,iscS,metC
f__Enterobacteriaceae;g__Yersinia;s__Yersinia_pestis	cyd,cysK,cysM,iscS,metC,mst,yhaO
f__Enterobacteriaceae;g__Citrobacter_A;s__Citrobacter_A_amalonaticus_D	cyd,cysK,cysM,decR,iscS,malY,metC,mst,tnaA,yhaM,yhaO
f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas_maltophilia_F	cse
f__Enterobacteriaceae;g__Cronobacter;s__Cronobacter_malonaticus	cse,cyd,cysK,cysM,iscS,malY,metC,mst
f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A_mortiferum	fn1220,fn1419
f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A_varium_B	fn1419
f__Enterobacteriaceae;g__Proteus;s__Proteus_penneri	cysK,cysM,iscS,metC,yhaM,yhaO
f__Neisseriaceae;g__Neisseria;s__Neisseria_gonorrhoeae	iscS
f__Paenibacillaceae;g__Paenibacillus_B;s__Paenibacillus_B_thiaminolyticus	cse,fn0625,tnaA
f__Enterobacteriaceae;g__Kluyvera;s__Kluyvera_ascorbata_B	cse,cyd,cysK,cysM,iscS,malY,metC,mst,tnaA
f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B_pernyi	cse
f__Enterobacteriaceae;g__Citrobacter_B;s__Citrobacter_B_koseri	cse,cyd,cysK,cysM,decR,iscS,malY,metC,mgl,mst,tnaA,yhaM,yhaO
f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter_europaeus	cyd,cysK,cysM,iscS,malY,metC,mgl,mst,yhaM,yhaO
f__Enterobacteriaceae;g__Salmonella;s__Salmonella_bongori	cyd,cysK,cysM,decR,iscS,malY,metC,mst,yhaM,yhaO
f__Enterobacteriaceae;g__Klebsiella_B;s__Klebsiella_B_aerogenes	cse,cyd,cysK,cysM,iscS,malY,metC,mst,yhaM
f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_cloacae_B	cse,cyd,cysK,cysM,iscS,malY,metC,mst,yhaM,yhaO
f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_nimipressuralis	cse,cyd,cysK,cysM,iscS,malY,metC,mst,yhaM,yhaO
f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_cloacae	cse,cyd,cysK,cysM,iscS,malY,metC,mst,yhaM,yhaO
f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_cloacae_K	cse,cyd,cysK,cysM,iscS,malY,metC,mst
f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_cloacae_H	cse,cyd,cysK,cysM,iscS,malY,metC,mst
f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_ludwigii	cse,cyd,cysK,cysM,iscS,malY,metC,mst,yhaM,yhaO
f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_himalayensis	cse,cyd,cysK,cysM,iscS,malY,metC,mst,yhaM,yhaO
f__Burkholderiaceae;g__Oxalobacter;s__Oxalobacter_formigenes_B	cse,iscS
f__Enterobacteriaceae;g__Escherichia;s__Escherichia_coli_D	cyd,cysK,cysM,decR,iscS,malY,metC,mst,tnaA,yhaM,yhaO
f__Enterobacteriaceae;g__Escherichia;s__Escherichia_albertii	cyd,cysK,cysM,decR,iscS,malY,metC,mst,tnaA,yhaM,yhaO
f__Enterobacteriaceae;g__Hafnia;s__Hafnia_alvei	cysK,cysM,fn1419,iscS,malY,mst,yhaM,yhaO
f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella_quasipneumoniae	cse,cyd,cysK,cysM,iscS,metC,mst,yhaM
f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella_variicola	cse,cyd,cysK,cysM,iscS,malY,metC,mst
f__Enterobacteriaceae;g__Morganella;s__Morganella_morganii	cyd,cysK,cysM,iscS,malY,mgl,tnaA,yhaM,yhaO
f__Enterobacteriaceae;g__Morganella;s__Morganella_morganii_A	cyd,cysK,cysM,iscS,malY,mgl,tnaA,yhaM,yhaO
f__Enterobacteriaceae;g__Proteus;s__Proteus_mirabilis	cysK,cysM,fn1419,iscS,metC,yhaM,yhaO
f__Enterobacteriaceae;g__Escherichia;s__Escherichia_fergusonii	cyd,cysK,cysM,decR,iscS,malY,metC,mgl,mst,tnaA,yhaM
f__Enterobacteriaceae;g__Proteus;s__Proteus_vulgaris_A	cysK,cysM,fn1419,iscS,metC,tnaA,yhaM,yhaO
f__Enterobacteriaceae;g__Serratia;s__Serratia_sp001642805	cse,cyd,cysK,cysM,iscS,malY,metC,mst
f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_sesami	cse,cyd,cysK,cysM,iscS,malY,metC,mst
f__Enterobacteriaceae;g__Pluralibacter;s__Pluralibacter_gergoviae	cyd,cysK,cysM,iscS,malY,metC,mst,yhaM,yhaO
f__Enterobacteriaceae;g__Metakosakonia;s__Metakosakonia_intermedia	cse,cyd,cysK,cysM,iscS,metC,mst
f__Enterobacteriaceae;g__Yersinia;s__Yersinia_bercovieri	cse,cyd,cysK,cysM,iscS,malY,metC,mst
f__Enterobacteriaceae;g__Yersinia;s__Yersinia_intermedia	cse,cyd,cysK,cysM,iscS,malY,metC,mst,tnaA
f__Aeromonadaceae;g__Aeromonas;s__Aeromonas_hydrophila	cysK,cysM,iscS,malY,tnaA,yhaM,yhaO
f__Aeromonadaceae;g__Aeromonas;s__Aeromonas_caviae	cysK,cysM,iscS,tnaA,yhaM
f__Aeromonadaceae;g__Aeromonas;s__Aeromonas_veronii	cysK,iscS,malY,tnaA,yhaM,yhaO
f__Vibrionaceae;g__Grimontia;s__Grimontia_hollisae	cysK,iscS,malY,metC,tnaA
f__Vibrionaceae;g__Vibrio;s__Vibrio_vulnificus	cysK,iscS,metC,tnaA,yhaO
f__Enterobacteriaceae;g__Citrobacter_A;s__Citrobacter_A_farmeri	cyd,cysK,cysM,decR,iscS,malY,metC,mst,tnaA,yhaM,yhaO
f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter_werkmanii_A	cyd,cysK,cysM,iscS,malY,metC,mgl,mst,yhaM,yhaO
f__Enterobacteriaceae;g__Plesiomonas;s__Plesiomonas_shigelloides	cysK,iscS,tnaA
f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella_pneumoniae	cse,cyd,cysK,cysM,iscS,malY,metC,mst
f__Cardiobacteriaceae;g__Cardiobacterium;s__Cardiobacterium_valvarum	tnaA
f__Lactobacillaceae;g__Lactobacillus_G;s__Lactobacillus_G_parafarraginis	cse
f__Megasphaeraceae;g__Megasphaera;s__Megasphaera_elsdenii	yhaM,yhaO
f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_argenteus	cbs,cse
f__Pasteurellaceae;g__Haemophilus_A;s__Haemophilus_A_paraphrohaemolyticus	iscS,metC,yhaM
f__Megasphaeraceae;g__Megasphaera;s__MGYG-HGUT-02555	yhaM,yhaO
f__Muribaculaceae;g__CAG-279;s__CAG-279_sp000437795	cysK
f__Bacteroidaceae;g__Bacteroides;s__MGYG-HGUT-02561	cysK
f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia_timonensis	iscS
f__Veillonellaceae;g__Veillonella_A;s__Veillonella_A_magna	yhaO
f__Fusobacteriaceae;g__Fusobacterium_A;s__MGYG-HGUT-02574	fn0625,fn1419
f__Pasteurellaceae;g__Haemophilus_D;s__MGYG-HGUT-02577	iscS,metC,yhaM
f__Oscillospiraceae;g__CAG-110;s__MGYG-HGUT-02589	cysK
f__Burkholderiaceae;g__CAG-521;s__MGYG-HGUT-02591	iscS
f__Atopobiaceae;g__Olsenella_C;s__MGYG-HGUT-02599	cse
f__Anaerovoracaceae;g__Eubacterium_A;s__MGYG-HGUT-02600	mgl
f__Lachnospiraceae;g__CAG-882;s__CAG-882_sp003486385	cse
f__Burkholderiaceae;g__CAG-521;s__MGYG-HGUT-02611	iscS
f__Oscillospiraceae;g__Oscillibacter;s__MGYG-HGUT-02617	mgl
f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio_desulfuricans	cysK
f__MGYG-HGUT-02626;g__MGYG-HGUT-02626;s__MGYG-HGUT-02626	fn1419
f__Veillonellaceae;g__Veillonella;s__MGYG-HGUT-02630	cse
f__Pasteurellaceae;g__Haemophilus_D;s__MGYG-HGUT-02631	cysK,iscS,metC,yhaM
f__Pasteurellaceae;g__Haemophilus_A;s__Haemophilus_A_parahaemolyticus	cysK,iscS,metC,yhaM
f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D_parainfluenzae_K	cysK,iscS,metC,yhaM
f__Pasteurellaceae;g__Haemophilus;s__Haemophilus_sp002998595	cysK,iscS,metC,yhaM
f__Burkholderiaceae;g__Turicimonas;s__MGYG-HGUT-02643	iscS
f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__MGYG-HGUT-02659	cse
f__Oscillospiraceae;g__F23-B02;s__MGYG-HGUT-02667	fn1419
f__Ruminococcaceae;g__UBA3818;s__MGYG-HGUT-02677	fn1055
f__Oscillospiraceae;g__Oscillibacter;s__MGYG-HGUT-02680	mgl
f__QAND01;g__MGYG-HGUT-02681;s__MGYG-HGUT-02681	cysK
f__Oscillospiraceae;g__Oscillibacter;s__MGYG-HGUT-02682	fn1419,mgl
f__Ruminococcaceae;g__UBA3818;s__MGYG-HGUT-02684	fn1055
f__UBA9506;g__MGYG-HGUT-02685;s__MGYG-HGUT-02685	fn1055
f__Ruminococcaceae;g__MGYG-HGUT-02689;s__MGYG-HGUT-02689	tnaA
f__Oscillospiraceae;g__Oscillibacter;s__MGYG-HGUT-02691	mgl
f__Acutalibacteraceae;g__MGYG-HGUT-02697;s__MGYG-HGUT-02697	cysK
